monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
TestChip,2024-02-14,12:07:02,None,SHAPE2,1,250,536,520,391,392,1
TestChip,2024-02-14,12:07:07,None,SHAPE2,1,250,488,607,306,483,1
TestChip,2024-02-14,12:07:14,None,SHAPE2,1,250,527,559,376,441,1
TestChip,2024-02-14,12:07:21,None,SHAPE2,2,250,602,350,400,205,1
TestChip,2024-02-14,12:07:28,None,SHAPE2,3,250,386,472,244,291,1
TestChip,2024-02-14,12:07:35,None,SHAPE2,4,250,441,374,232,175,1
TestChip,2024-02-14,12:07:41,None,SHAPE2,5,250,582,391,470,301,1
TestChip,2024-02-14,12:07:48,None,SHAPE2,6,250,598,484,475,474,1
TestChip,2024-02-14,12:07:55,None,SHAPE2,7,250,537,587,418,497,1
TestChip,2024-02-14,12:08:02,None,SHAPE2,8,250,623,367,298,375,0
TestChip,2024-02-14,12:15:25,None,SHAPE2,1,250,539,567,361,512,1
TestChip,2024-02-14,12:15:31,None,SHAPE2,1,250,600,295,569,173,1
