monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
GROUP,2024-03-15,11:02:33,None,SHAPE1,1,220,525,425,402,274,1
GROUP,2024-03-15,11:02:42,None,SHAPE1,2,220,520,437,402,274,1
GROUP,2024-03-15,11:02:52,None,SHAPE1,3,220,488,415,402,274,1
GROUP,2024-03-15,11:03:01,None,SHAPE1,4,220,508,408,402,274,1
GROUP,2024-03-15,11:03:10,None,SHAPE1,5,220,469,479,402,274,1
GROUP,2024-03-15,11:11:00,None,SHAPE1,1,220,435,357,402,274,1
GROUP,2024-03-15,11:11:10,None,SHAPE1,2,220,504,379,402,274,1
GROUP,2024-03-15,11:11:26,None,SHAPE1,1,220,490,380,402,274,1
GROUP,2024-03-15,11:12:25,None,SHAPE1,1,220,428,401,402,274,1
