monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
TestChip,2024-09-17,13:56:35,None,SHAPE2,1,150,153,130,63,18,1
TestChip,2024-09-17,13:57:32,None,SHAPE2,1,150,336,113,262,26,1
TestChip,2024-09-17,13:58:24,None,SHAPE2,1,150,193,95,113,36,1
TestChip,2024-09-17,13:58:34,None,SHAPE2,1,150,368,331,281,215,1
TestChip,2024-09-17,14:02:31,None,SHAPE2,1,150,372,298,338,222,1
TestChip,2024-09-17,14:04:19,None,SHAPE2,1,150,194,318,128,225,1
TestChip,2024-09-17,14:04:26,None,SHAPE2,2,150,231,283,157,209,1
TestChip,2024-09-17,14:04:33,None,SHAPE2,3,150,138,149,47,60,1
TestChip,2024-09-17,14:04:40,None,SHAPE2,4,150,390,170,353,74,1
TestChip,2024-09-17,14:04:46,None,SHAPE2,5,150,299,315,254,234,1
TestChip,2024-09-17,14:04:53,None,SHAPE2,6,150,327,291,289,203,1
TestChip,2024-09-17,14:05:00,None,SHAPE2,7,150,227,273,137,194,1
TestChip,2024-09-17,14:05:07,None,SHAPE2,8,150,94,303,18,223,1
TestChip,2024-09-17,14:05:14,None,SHAPE2,9,150,386,256,337,164,1
TestChip,2024-09-17,14:06:42,None,SHAPE2,1,150,273,198,183,94,1
TestChip,2024-09-17,14:06:49,None,SHAPE2,2,150,247,140,128,8,1
TestChip,2024-09-17,14:06:55,None,SHAPE2,3,150,268,256,184,192,1
TestChip,2024-09-17,14:07:02,None,SHAPE2,4,150,153,268,27,129,1
TestChip,2024-09-17,14:07:09,None,SHAPE2,5,150,166,217,64,107,1
TestChip,2024-09-17,14:09:31,None,SHAPE2,1,150,138,206,66,115,1
TestChip,2024-09-17,14:09:37,None,SHAPE2,2,150,240,168,165,111,1
TestChip,2024-09-17,14:09:44,None,SHAPE2,3,150,252,219,207,164,1
TestChip,2024-09-17,14:09:50,None,SHAPE2,4,150,227,121,133,50,1
TestChip,2024-09-17,14:09:57,None,SHAPE2,5,150,318,142,266,69,1
TestChip,2024-09-17,14:12:11,None,SHAPE2,1,150,308,245,264,150,1
TestChip,2024-09-17,14:12:17,None,SHAPE2,2,150,233,289,118,221,1
TestChip,2024-09-17,14:12:27,None,SHAPE2,1,150,311,226,220,128,1
TestChip,2024-09-17,14:12:41,None,SHAPE2,1,150,183,117,110,7,1
TestChip,2024-09-17,14:12:47,None,SHAPE2,2,150,274,239,198,185,1
