monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
fishC,2024-02-05,08:59:42,L,SHAPE0,1,768,604,508,128,0,1
fishC,2024-02-05,09:05:24,L,SHAPE0,1,768,574,478,128,0,1
