monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
TestChip,2024-03-22,12:59:16,None,SHAPE1,1,250,92,41,3,-29,1
TestChip,2024-03-22,13:01:24,None,SHAPE1,1,240,76,88,8,-24,1
TestChip,2024-03-22,13:01:31,None,SHAPE1,2,230,132,63,13,-19,1
TestChip,2024-03-22,13:01:36,None,SHAPE1,3,220,90,37,18,-14,1
TestChip,2024-03-22,13:01:41,None,SHAPE1,4,210,93,61,23,-9,1
TestChip,2024-03-22,13:01:47,None,SHAPE1,5,200,112,67,28,-4,1
TestChip,2024-03-22,13:01:52,None,SHAPE1,6,200,71,36,28,-4,1
TestChip,2024-03-22,13:01:59,None,SHAPE1,7,200,99,80,28,-4,1
TestChip,2024-03-22,13:02:13,None,SHAPE1,1,200,62,125,28,-4,1
TestChip,2024-03-22,13:03:15,None,SHAPE1,1,200,75,64,28,-4,1
TestChip,2024-03-22,13:03:29,None,SHAPE1,1,200,53,64,28,-4,1
TestChip,2024-03-22,13:03:35,None,SHAPE1,2,200,54,64,28,-4,1
