monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
fishC,2024-02-05,08:55:42,L,SHAPE0,1,768,544,445,128,0,1
fishC,2024-02-05,08:56:31,L,SHAPE0,1,768,548,499,128,0,1
