monkey_name,date,time,arm,task_name,trial,stim_size,touch_x,touch_y,stim_x,stim_y,correct
GROUP,2024-09-17,13:57:03,None,SHAPE2,1,150,313,163,247,69,1
GROUP,2024-09-17,13:57:09,None,SHAPE2,1,150,95,295,298,162,0
GROUP,2024-09-17,13:57:13,None,SHAPE2,1,150,378,136,336,18,1
GROUP,2024-09-17,13:57:17,None,SHAPE2,1,150,116,295,20,186,1
GROUP,2024-09-17,13:57:38,None,SHAPE2,1,150,126,216,74,130,1
GROUP,2024-09-17,13:57:48,None,SHAPE2,2,150,117,207,78,155,1
GROUP,2024-09-17,13:57:57,None,SHAPE2,3,150,320,135,293,63,1
GROUP,2024-09-17,13:58:06,None,SHAPE2,4,150,177,263,85,161,1
GROUP,2024-09-17,13:58:30,None,SHAPE2,1,150,128,163,39,94,1
GROUP,2024-09-17,14:12:23,None,SHAPE2,1,150,316,291,233,148,1
GROUP,2024-09-17,14:12:34,None,SHAPE2,1,150,158,253,33,170,1
